# position, velocity
0.000000000000000000e+00,-3.642109297678219350e-04
1.010101010101010187e-02,4.203278041299026713e-01
2.020202020202020374e-02,8.306216621682827039e-01
3.030303030303030387e-02,1.233504424346826056e+00
4.040404040404040747e-02,1.627817244079861059e+00
5.050505050505051108e-02,2.013408035325671364e+00
6.060606060606060774e-02,2.390341765409413455e+00
7.070707070707071829e-02,2.758733650752854594e+00
8.080808080808081495e-02,3.118546599185585855e+00
9.090909090909091161e-02,3.469813428333320626e+00
1.010101010101010222e-01,3.812472014828965250e+00
1.111111111111111188e-01,4.146645137014414395e+00
1.212121212121212155e-01,4.472139367965763057e+00
1.313131313131313260e-01,4.789165729279661221e+00
1.414141414141414366e-01,5.097574151838978551e+00
1.515151515151515194e-01,5.397421065886401692e+00
1.616161616161616299e-01,5.688674566097955854e+00
1.717171717171717404e-01,5.971447452637510089e+00
1.818181818181818232e-01,6.245561522951762257e+00
1.919191919191919338e-01,6.511178195887244335e+00
2.020202020202020443e-01,6.768129862223025484e+00
2.121212121212121271e-01,7.016604301983694114e+00
2.222222222222222376e-01,7.256442484400771775e+00
2.323232323232323482e-01,7.487790458605246613e+00
2.424242424242424310e-01,7.710505754808546719e+00
2.525252525252525415e-01,7.924725471544929789e+00
2.626262626262626521e-01,8.130270380747498749e+00
2.727272727272727626e-01,8.327284952355132219e+00
2.828282828282828731e-01,8.515779481122271122e+00
2.929292929292929282e-01,8.695725866934072457e+00
3.030303030303030387e-01,8.867020824538647261e+00
3.131313131313131493e-01,9.029807739674899025e+00
3.232323232323232598e-01,9.183986016142622333e+00
3.333333333333333703e-01,9.329597070829787953e+00
3.434343434343434809e-01,9.466665664115447854e+00
3.535353535353535914e-01,9.595168438476729733e+00
3.636363636363636465e-01,9.715050046018896879e+00
3.737373737373737570e-01,9.826465358985583265e+00
3.838383838383838675e-01,9.929188692176746045e+00
3.939393939393939781e-01,1.002344823630471993e+01
4.040404040404040886e-01,1.010907254697157320e+01
4.141414141414141992e-01,1.018612341185085235e+01
4.242424242424242542e-01,1.025471490670504160e+01
4.343434343434343647e-01,1.031468305868229152e+01
4.444444444444444753e-01,1.036611858082903659e+01
4.545454545454545858e-01,1.040889863110108493e+01
4.646464646464646964e-01,1.044316251544094953e+01
4.747474747474748069e-01,1.046883727655993113e+01
4.848484848484848619e-01,1.048600701187391060e+01
4.949494949494949725e-01,1.049443562155254916e+01
5.050505050505050830e-01,1.049447806777754444e+01
5.151515151515152491e-01,1.048590243661209165e+01
5.252525252525253041e-01,1.046873155957897872e+01
5.353535353535353591e-01,1.044310613080565453e+01
5.454545454545455252e-01,1.040880069446779288e+01
5.555555555555555802e-01,1.036596713951877824e+01
5.656565656565657463e-01,1.031453406655524496e+01
5.757575757575758013e-01,1.025459874661788184e+01
5.858585858585858563e-01,1.018610299266636865e+01
5.959595959595960224e-01,1.010898540155826808e+01
6.060606060606060774e-01,1.002322876704765164e+01
6.161616161616162435e-01,9.929003464120350841e+00
6.262626262626262985e-01,9.826204777999077322e+00
6.363636363636364646e-01,9.714903325924518995e+00
6.464646464646465196e-01,9.595005865208396045e+00
6.565656565656565746e-01,9.466484715905211900e+00
6.666666666666667407e-01,9.329431540235024301e+00
6.767676767676767957e-01,9.183795122718690251e+00
6.868686868686869618e-01,9.029548960290844306e+00
6.969696969696970168e-01,8.866810420795443903e+00
7.070707070707071829e-01,8.695489082035024353e+00
7.171717171717172379e-01,8.515597605770013345e+00
7.272727272727272929e-01,8.327093470079745430e+00
7.373737373737374590e-01,8.130049411537559223e+00
7.474747474747475140e-01,7.924437073549691846e+00
7.575757575757576801e-01,7.710255720178102123e+00
7.676767676767677351e-01,7.487532968765108876e+00
7.777777777777777901e-01,7.256153093005491606e+00
7.878787878787879562e-01,7.016312916834889890e+00
7.979797979797980112e-01,6.767799820749155870e+00
8.080808080808081773e-01,6.510858900687102491e+00
8.181818181818182323e-01,6.245246378419957445e+00
8.282828282828283983e-01,5.971068025804696866e+00
8.383838383838384534e-01,5.688356446214163142e+00
8.484848484848485084e-01,5.397135580976510028e+00
8.585858585858586745e-01,5.097262217570729170e+00
8.686868686868687295e-01,4.788861034535540462e+00
8.787878787878788955e-01,4.471898248255175901e+00
8.888888888888889506e-01,4.146380066175408885e+00
8.989898989898991166e-01,3.812318200287584169e+00
9.090909090909091717e-01,3.469622530892804591e+00
9.191919191919192267e-01,3.118370377360373258e+00
9.292929292929293927e-01,2.758570215625628652e+00
9.393939393939394478e-01,2.390208875578604175e+00
9.494949494949496138e-01,2.013264752468528318e+00
9.595959595959596689e-01,1.627681867018617501e+00
9.696969696969697239e-01,1.233397867005125992e+00
9.797979797979798899e-01,8.305675901726985444e-01
9.898989898989899450e-01,4.203312555333688083e-01
1.000000000000000000e+00,-4.295874252813249050e-04
